id,title,description,projects,functions,benefits,desirable,seniority,seniority_type,remote,remote_modality,remote_zone,countries,lang,category_name,perks,min_salary,max_salary,published_at,response_time_min,response_time_max,applications_count,public_url
senior-database-administrator-sql-azure-softserve-remote,Senior Database Administrator (Ms SQL),"Proficient in on-premises SQL Server management, with additional skills in AzureExperienced in code tuning to optimize performanceCapable of conducting SQL code reviews and deploying changesSkilled in managing backups and performing restores as neededAble to provide support to developers for any database-related issuesExperienced in managing SQL server updates to ensure system stability and securityKnowledgeable in T-SQL replication for data synchronizationPossess strong troubleshooting skills to address technical issues efficiently.Database user management and auditB2+ English LevelLocated in Chile ","WE ARESoftServe is an IT company. We are advisors and providers who operate on the cutting edge of technology. With you, we set goals and reach them to grow better together, learning from both successes and mistakes. We are a team of thinkers and makers in more than 40 offices in 12 countries, true professionals and good people, who like what we do and do it well.We hold top-level partnership statuses with all the major cloud providers and collaborate with many technology partners like Snowflake, Confluent, Cloudera, Starburst, Collibra, Tableau, among others.Together with the SEI and Carnegie Mellon University, we adapted ADD and ATAM architecture design methodologies to Big Data needs and invented the Smart Decisions game to promote architecture design best practices in AI and Big Data.","Master SQL Server and Azure Database Management: Bring your proficiency in on-premises SQL Server and Azure to enhance our database systemsOptimize and Review SQL Performance: Use your experience in code tuning and conducting SQL code reviews to optimize system performanceLead Data Recovery and System Updates: Manage critical backups, restores, and SQL server updates to ensure system stability and securitySupport Development Teams: Provide expert support to developers on database-related issues, helping to streamline project workflowsTroubleshoot and Audit Database Systems: Utilize your strong troubleshooting skills and oversee database user management and audits to maintain high operational standards","SoftServe es una empresa que ofrece igualdad de oportunidades. Nuestras ofertas laborales están abiertas a todos quienes, dentro del marco de la Ley de Inclusión, quieran formar parte de esta gran Empresa, aportando con sus distintas capacidades y fortalezas, tanto humanas como profesionales. Pongamos tu talento y experiencia en movimiento con SoftServe.","TOGETHER WE WILLSupport your technical and personal growth–we have a dedicated career plan for all roles in our companyInvestigate new technologies, build internal prototypes, and share knowledge with the SoftServe Big Data CommunityUpskill with full access to Udemy learning coursesPass professional certifications, encouraged and covered by the companyAssimilate best practices from experts while working in a team of top-notch Engineers and ArchitectCollaborate with world-leading companies and attend professional eventsHave a chance to address different business and technology challenges, engage in challenging projects and top-notch technologies, and drive multiple projects and initiatives as a part of the Center of Excellence","{'data': {'id': 4, 'type': 'seniority'}}",seniority,True,remote_local,,['Remote'],en,SysAdmin / DevOps / QA,"['pet_friendly', 'flexible_hours', 'health_coverage', 'computer_provided', 'informal_dresscode', 'vacation_over_legal', 'beverages_and_snacks']",3000.0,3800.0,1715881210,,,32,https://www.getonbrd.com/jobs/senior-database-administrator-sql-azure-softserve-remote
senior-qa-qc-automation-softserve-remote,Senior QA/QC (Manual),"Possessing a Bachelor's degree in Computer Science, Computer Engineering, or similarA holder of 5+ years of experience in Software Quality Assurance & TestingWell-versed in API testingExperienced with software testing principlesHands-on with software life cycleCompetent with Xcode and Android StudioConfident in executing regression testsSkilled in Agile development methodologiesProficient in writing test plans and test cases and have a quality mindsetAccustomed to Jira or similar toolsSelf-starter with good decision-making capabilitiesDemonstrating B2 English level (written and spoken) to cover daily communication with the Team","WE ARESoftServe is a IT & global digital solutions company with headquarters in Austin, Texas, founded in 1993 in Ukraine. Our associates are currently working on 2,000+ projects with clients in the USA, Europe, and APAC region. We are about people who create bold things, who make a difference, who have fun, and who love their work. In January 2022, we started our operations in Latin America. We committed to grow our local community to 3,500 associates by 2025 and invest in the market.You will be working for one of our projects, a leading smart home technology provider that offers home security, energy management, home automation, local cloud storage, and high-speed Internet solutions to more than two million customers throughout the United States. The result is a smart home solution that saves you time and money and simplifies your life.","Collaborate closely with software engineers representing other disciplines to build amazing experiences from top to bottomLeverage your technical expertise and interpersonal skills to help the team make great implementation decisions togetherActively participate in code reviews and other software lifecycle activitiesWork in a fast-paced, self-directed, agile environmentResearch and evaluate new technologies and toolsContribute to new feature development, maintenance, and architectural activitiesActively participate in the iOS guild with fellow engineers to develop better organization-wide development practices and solve hard problemsParticipate in a quarterly ""Innovation Week"" and work on innovative projects of your choicePut smart home products in your own home and experience your work product firsthandWork as a central part of a cross-functional delivery teamCollaborate with product management, program management, QA, UX designers, and others","Gain certifications from leading providers (Google, AWS & others)Empower you to scale your expertise with others by joining the Mentoring ProgramExcel business of our clients from startups and ISVs to Enterprise and Fortune 500 companiesCreate an exceptional customer experience and impact the company's global success and be recognized by the Customer Hero ProgramCare for your wellness with a health insurance package",,"{'data': {'id': 4, 'type': 'seniority'}}",seniority,True,remote_local,,['Remote'],en,SysAdmin / DevOps / QA,"['pet_friendly', 'flexible_hours', 'health_coverage', 'computer_provided', 'informal_dresscode', 'vacation_over_legal', 'beverages_and_snacks']",,,1715880806,,,34,https://www.getonbrd.com/jobs/senior-qa-qc-automation-softserve-remote
ingeniero-de-seguridad-ti-kibernum-santiago-2343,Ingeniero de Seguridad TI,"🎓 Ingeniero de seguridad de aplicaciones con 3 años de experiencia.🌐 Certificaciones en Seguridad Informática/Información, Ethical Hacking y AWS Cloud Practitioner.📜 Conocimientos de estándares de Seguridad de la Información ISO 27000.🔍 2 años de experiencia en Ethical Hacking.☁️ 1 año de experiencia en AWS.🗣️ Inglés conversacional intermedio-avanzado (comunicación constante con equipo en India).","Kibernum, es una de las empresas líderes en tecnología presente en Chile, Perú, Colombia y USA.🌍Llevamos más de 30 años en el mercado entregando servicios de calidad y gran valor agregado a nuestros clientes, por lo que nos encontramos muy bien posicionados.😎En KIBERNUM nos mueve instalar capacidades flexibles, a través del mejor talento tech del mundo, para impulsar la evolución digital. Actualmente contamos con una dotación que supera los 1500 colaboradores, cuyas áreas de expertise se destacan entre otras: tech, Staffing, IT Academy y Agile Delivery. 🤟","🔐 Supervisar el monitoreo y ejecución continua de procesos, proyectos y procedimientos de desarrollo seguro.🛡️ Analizar código malicioso, crear modelos de amenazas y responder a incidentes de seguridad.👀 Gestionar y monitorear accesos a sistemas de información, dispositivos de comunicación y centros de datos.🚨 Apoyar en la gestión de riesgos y alertar sobre potenciales amenazas a la seguridad.🛠️ Proponer iniciativas para optimizar procesos de seguridad en el ciclo de vida de desarrollo de aplicaciones.📊 Ejecutar escaneos de vulnerabilidad y tests de penetración, y gestionar su remediación.📚 Concientizar a empleados, proveedores y externos sobre seguridad de la información.🔍 Realizar auditorías internas de procesos de tecnología y seguridad.🔧 Realizar funciones adicionales asignadas por el jefe dentro del marco del cargo.",📄 Contrato indefinido.🏢 Jornada híbrida (2 a 3 días presencial por semana).🕒 Horario: Lunes a viernes de 08:30 a 18:30 h.📍 Ubicación: Providencia.,🏥 Seguro complementario de salud y de vida.📈 Reajuste trimestral del IPC.🎉 Aguinaldos para Fiestas Patrias y Navidad.🎁 Acceso a una plataforma con más de 500 beneficios.,"{'data': {'id': 3, 'type': 'seniority'}}",seniority,False,hybrid,,['Chile'],lang_not_specified,Cybersecurity,['health_coverage'],2200.0,2700.0,1715723416,,,15,https://www.getonbrd.com/jobs/ingeniero-de-seguridad-ti-kibernum-santiago-2343
it-project-manager-softserve-remote,IT Project Manager,"Showing at least 4 years of experience in managing pipeline work as well as cross-functional scope and dependenciesBackgrund of at less 3 years as Software Developer (FullStack or BackEnd)Possessing either a degree or hands-on experience in software engineering (ideally – in commercial projects)Great at developing relations with external customers and being the main communication anchor for the teamSuccessful in multiple stakeholders’ management, building & managing expectationsSkilled in supervising resource allocation to ensure the attainment of business and team development goalsGood at guiding, coaching, and mentoring development teamsUsed to providing leadership, guidance, and oversight into the implementation of product featuresAlways involved in planning, execution, monitoring, and controlling phasesAn expert in Agile methodologiesA skillful communicator, open-minded, easygoing, and able to translate business vision to the development teamA hard-working person who is not afraid of activities diversity and able to switch attention easily when neededCapable of conducting business communication at B2+ English level","WE ARESoftServe is a IT & global digital solutions company with headquarters in Austin, Texas, founded in 1993 in Ukraine. Our associates are currently working on 2,000+ projects with clients in the USA, Europe, and APAC region. We are about people who create bold things, who make a difference, who have fun, and who love their work. In January 2022, we started our operations in Latin America. We committed to grow our local community to 3,500 associates by 2025 and invest in the market.You will be working for one of our projects, a leading smart home technology provider that offers home security, energy management, home automation, local cloud storage, and high-speed Internet solutions to more than two million customers throughout the United States. The result is a smart home solution that saves you time and money and simplifies your life.","Collaborate with enthusiastic colleagues who are eager to help and supportContribute to the technologically diverse and profound IT ecosystem to help achieve business goals and drive resultsOperate as the Lead Project Manager for the site as a future opportunity, overseeing priority and ensuring the projects are tracked and progress is monitoredImplement outstanding processes, build new ones, and develop an environment of continuous improvementParticipate in the selection process for new hires, mentor, coach, and build effective world-class software engineering teamsHelp define, measure, and socialize success metrics to internal and external teams to report on the project delivery",,"TOGETHER WE WILLGain certifications from leading providers (Google, AWS & others)Empower you to scale your expertise with others by joining the Mentoring ProgramExcel business of our clients from startups and ISVs to Enterprise and Fortune 500 companiesCreate an exceptional customer experience and impact the company's global success and be recognized by the Customer Hero ProgramCare for your wellness with a health insurance packageSoftServe es una empresa que ofrece igualdad de oportunidades. Nuestras ofertas laborales están abiertas a todos quienes, dentro del marco de la Ley de Inclusión, quieran formar parte de esta gran Empresa, aportando con sus distintas capacidades y fortalezas, tanto humanas como profesionales. Pongamos tu talento y experiencia en movimiento con SoftServe.","{'data': {'id': 4, 'type': 'seniority'}}",seniority,True,remote_local,,['Remote'],en,Operations / Admin,"['pet_friendly', 'flexible_hours', 'health_coverage', 'computer_provided', 'informal_dresscode', 'vacation_over_legal', 'beverages_and_snacks']",,,1715706431,,,29,https://www.getonbrd.com/jobs/it-project-manager-softserve-remote
iso-27001-consultant-global-sentynel-remote,Iso 27001 Consultant,"Qualifications:Bachelor’s degree in Computer Science, Information Security, or a related field.Extensive experience (at least 5 years) in cyber security, with a focus on ISO 27001.Familiarity with security frameworks and standards (e.g., NIST, ISO 27001).Certified ISO27001 lead AuditorAbility to work on their own with little supervisionProficiency in security systems and tools, such as SIEM, IDS/IPS, and endpoint protection.Strong problem-solving and analytical skills.Excellent communication and collaboration abilities.Other relevant certifications (e.g., CISSP, CISM, CEH) are a plus.","We are currently seeking a highly skilled ISO 27001 Consultant to join our esteemed team at Global Sentynel. In this role, you will be a key player in ensuring the robustness and resilience of our clients' cybersecurity postures. Our unique value proposition rests on several differentiators:Expertise: Our Security Subject Matter Experts (SMEs) collectively possess decades of experience in the fieldKnowledge: We leverage a wealth of technology and innovative approaches to tackle security challenges.People Centric: Our focus is on the expertise and skills of our team members, rather than relying solely on tools.Pragmatic and Affordable: We adopt a risk-based approach to security, ensuring practical and cost-effective solutions for our clients.","Responsibilities:Conduct ISO 27001 readiness assessments and gap analyses to identify vulnerabilities and areas for improvement.Collaborate with cross-functional teams to implement security controls and processes aligned with ISO 27001 standards.Perform regular audits of ISO 27001 implementations to ensure compliance and effectiveness.Develop and maintain security architecture, guidelines, and processes in accordance with industry best practices.Create investment roadmaps for security tools and integrate security measures into our organization’s infrastructure.",,,"{'data': {'id': 4, 'type': 'seniority'}}",seniority,True,fully_remote,,['Remote'],en,Cybersecurity,['remote_full'],,,1716564477,,,0,https://www.getonbrd.com/jobs/iso-27001-consultant-global-sentynel-remote
ingeniero-civil-fopeca-s-a-quito-guayaquil,Ingeniero Civil,"Título universitario en Ingeniería Civil o afinesExperiencia de 3 años en posiciones similaresConocimientos en administración de infraestructuras y gestión de presupuestosConocimientos en planillaje, revisión y dibujo de planos, revisión de documentos y especificaciones técnicas, realización de cotizaciones y manejo de proveedoresConocimientos en ISO 9001:2015, levantamiento de procesos, elaboración de documentos y certificado de auditor interno en ISO 9001 ","El proyecto Portovelo – Salatí – Ambocas es la reconstrucción de una carretera de 22 kilómetros de longitud en la provincia de El Oro, Ecuador. El Ministerio de Transporte y Obras Públicas (MTOP) está ejecutando el proyecto a través de la constructora FOPECA S.A. con una inversión de $12.496.161.61 millones de dólares. ","Dirigir por parte del Contratista, la ejecución, conforme a los planos y especificaciones técnicas establecidas en el proyecto.- Coordinar el pilotaje y movimiento de tierras.• Velar por el mejor aprovechamiento de los equipos, herramientas, recursos humanos adecuados y necesarios dentro de la obra.• Llevar a cabo el proyecto encomendado con la calidad, tiempo y costo considerado.• Cumplir con las Normas de Seguridad e Higiene Industrial y de acuerdo a las condiciones establecidas en el contrato suscrito por el Contratista.• Representar técnicamente al Contratista en la obra.• Realizar la planificación respectiva, coordinar al personal directo de la obra y en su caso a los diferentes contratistas que intervienen en la obra.• Hacer los requerimientos de material oportunos y elaborar reportes de avances de obra, ejecución de la obra y de las actividades de control, tales como calidad, organización del personal, actas, mediciones, valuaciones y demás actos administrativos similares.• Es el responsable de llevar el libro de obra.• Realizar cualquier otra función, en el ámbito de su competencia, que le sea asignada por el Contratista.Tenés título","Capacidad para analizar y resolver problemas, tomar decisiones, observar e interpretar fenómenos físicos, adaptarse a condiciones adversas, organizar y dirigir grupos de trabajo, autoconfianza para supervisar a otras personas, habilidades de organización, interés por la arquitectura y la construcción, habilidades de cálculo matemático, interés por la física, habilidades relacionadas con las TI y sobre el uso de software CAD.","Título ingeniero civil o arquitecto tener experiencia máximo 3 años en áreas de infraestructura vialCapacidad para analizar y resolver problemas, tomar decisiones, observar e interpretar fenómenos físicos, adaptarse a condiciones adversas, organizar y dirigir grupos de trabajo, autoconfianza para supervisar a otras personas, habilidades de organización, interés por la arquitectura y la construcción, habilidades de cálculo matemático, interés por la física, habilidades relacionadas con las TI y sobre el uso de software CAD","{'data': {'id': 5, 'type': 'seniority'}}",seniority,False,no_remote,,['Ecuador'],es,Operations / Admin,"['flexible_hours', 'health_coverage', 'informal_dresscode', 'vacation_over_legal']",1500.0,1800.0,1716214884,,,3,https://www.getonbrd.com/jobs/ingeniero-civil-fopeca-s-a-quito-guayaquil
ingeniero-en-ciberseguridad-agilesoft-spa-remote,Analista de Infraestructura Ciberseguridad,"Titulación en Ingeniería en Telecomunicaciones, Conectividad y RedesExperiencia laboral previa en roles relacionados con redes y ciberseguridadAl menos 1 año de experiencia ejecutando proyectos de Infraestructura de Ciberseguridad.Manejo de normativas y frameworks de ciberseguridad (ISO 27001, NIST, PCI-DSS, CIS, etc).Manejo de las regulaciones a empresas críticas del estado.Experiencia demostrable utilizando las siguientes tecnologías:- Next-Gen Firewalls: Fortinet - Checkpoint- Endpoints y EDR: McAfee - Sophos - Darktrace- Anti DDoS y WAF: Radware- Routing/Switching: Cisco- Administración de Sistemas Operativos: Linux - Unix - Windows (Active Directory)- Excel avanzadoCapacidad para analizar y responder a incidentes de seguridad de manera eficiente.Excelentes habilidades de comunicación y trabajo en equipo.Capacidad para mantenerse actualizado sobre las últimas tendencias y amenazas en ciberseguridad.","Agilesoft es una startup formada por gente joven, enfocada en el desarrollo de software. Somos amantes de la tecnología, con un ambiente laboral entretenido y grato. Más que cumplir horarios, trabajamos bajo metas, que nos impulsan a resultados innovadores y de calidadEstamos en búsqueda de un Analista de Infraestructura de Ciberseguridad Junior con una sólida formación en Ingeniería en Telecomunicaciones, Conectividad y Redes, con experiencia previa en roles relacionados con redes y ciberseguridad.","Implementar y mantener sistemas de seguridad informática para proteger la infraestructura de red de la empresa.Aplicar las iniciativas de ciberseguridad con los programas corporativos y los objetivos de cadaproyecto, asegurando que cada una de sus labores cumpla con el estándar de ejecución esperable,haciendo que el proyecto, la infraestructura del cliente y las tecnologías de la información utilizadas, estén adecuadamente protegidos ante amenazas cibernéticas.Cumplir ceremonias y proceso de la metodología ágil Scrum para desarrollar los proyectos con clientes, estos se detallan a continuación:- Ceremonias: Refinamiento, Planning, Daily, Review o Showcase, Retrospective.- Proceso: Sprint, Pesaje de historias, generar y cumplir con un sprint.Cumplir con la correcta y completa ejecución de las tareas asignadas en cada proyecto o servicio:- Informar, consultar y solucionar problemas y comentarios del cliente con el fin deretroalimentar el servicio y evitar problemas de calidad en la entrega y ejecución.- Ejecutar las labores asignadas de todos los servicios y proyectos en los que trabaja.- Ejecutar todas las labores necesarias para cumplir en tiempo y forma con las entregaspreestablecidas con el cliente.- Informar a su jefatura directa los avances de las tareas asignadas, conservando la prolijidadde los entregables y el apego a las normativas con las que se esté desarrollando el servicio,con el fin de corregir a tiempo la dirección y desarrollo de los proyectos.Apoyar con funciones particulares de preventa en las propuestas comerciales para los clientes.Capacitarse continuamente y según Agilesoft lo requiera, con el fin de cumplir requisitos técnicos en proyectos y licitaciones y asegurar la calidad de los mismos.Consultar frecuentemente en fuentes oficiales de los diferentes fabricantes y marcas de lassoluciones que ofrece Agilesoft para resolver problemas y aplicar mejoras a los proyectos asignados.","Ambiente laboral grato, flexible, entretenido y dinámico.contrato indefinidoHorario de trabajo de Lunes a Jueves de 09:00 hrs a 18:00 hrs y Viernes de 09:00 hrs a17:00 hrs.Lugar de trabajo: RemotoCaja Compensación La AraucanaSeguro complementario de Salud y DentalComputadora de trabajoMedio día libre de cumpleaños","Certificaciones en seguridad informática, como Fortinet (NSE1, NSE2, NSE3), Sophos Engineer (Sophos Central, Sophos Mobile, CE1, Sophos Central - Technicals), y Cyrebro Certified Integrator.Deseable conocimiento en servicios Ethical Hacking como pentesting, ingeniería social, análisis de vulnerabilidades, etc.","{'data': {'id': 2, 'type': 'seniority'}}",seniority,True,remote_local,,['Remote'],es,Cybersecurity,"['flexible_hours', 'health_coverage', 'computer_provided']",,,1715377263,,,108,https://www.getonbrd.com/jobs/ingeniero-en-ciberseguridad-agilesoft-spa-remote
gerente-de-fabrica-de-software-senior-remoto-ingles-b1-sophos-solutions-remote,Gerente de Fábrica de Software Senior Inglés B1,"¿Qué requerimos? Profesional en Ingeniería en Sistemas, Software o afines. Inglés B1 5 años de experiencia como líder técnico, gerente de desarrollo, líder de desarrollo de software en fábrica de software, QA, células ágiles, desarrollo a la medida con más de 20 personas. 5 años de experiencia demostrada en la implementación exitosa de soluciones de inteligencia artificial en proyectos de desarrollo de software. 5 años de experiencia demostrable impactando métricas de eficiencia y/o productividad integrando IA a procesos de fábrica de software. 5 años de experiencia comprobada en interacción con clientes (preventa y/o consultiva). Experiencia con patrones de diseño (POO, POE) MVC, MVVM, TOGAF, SOAP, clean architecture, etc. Mínimo 5 años de experiencia como desarrollador o background con conocimiento de 1 o más lenguajes como: Java, Net, RoR, PHP, manejo de bases de datos SQL y NoSQL, adecuado conocimiento de servicios web (API, Rest y/o SOAP) equipos front end, back end, bdd, etc. Mínimo 3 años en manejo de dashboards de gestión e indicadores de desempeño como: métricas de productividad (lead time, código, WIP, Sprint, etc), del software (escalabilidad, tiempo de respuesta, RAS, etc) calidad (defectos, cobertura) y mejora continua en estos indicadores Conocimiento y apego a mejores prácticas del mercado como: DevOps, Agilismo, ITIL, CoBIT, Design, TOGAF, SOAP, etc. Mínimo 4 años con DevOps sobre AWS, GCP, Azure, Openshift, etc. Manejo de herramientas en mejora code clean, como: Sonarqube, veracode, sonarcloud, etc. Experiencia en la implementación de procesos utilizando alguna IA como Microsoft (Github Copilot, Copilot chat) para AWS (Codewhisper Amazon Q para analizar vulnerabilidades, idioma, código reutilizable, etc) ","Acerca del empleoSophos Solutions es una compañía global de soluciones tecnológicas, con operaciones en 14 países alrededor del mundo. Nuestra casa matriz se encuentra en Colombia y contamos con filiales en 6 países incluyendo Colombia, Estados Unidos, México, India, Chile y Panamá. Somos más de 1.500 personas expertas en tecnología, liderando proyectos que están revolucionando la industria y transformando con éxito las instituciones financieras más importantes 🌎 "," Tendrás la oportunidad de: Liderar la implementación de soluciones de inteligencia artificial en todas las etapas del ciclo de vida del desarrollo de software. Colaborar con los equipos de negocio y técnicos para identificar oportunidades de aplicación de inteligencia artificial que mejoren la productividad y la calidad del software. Dirigir la automatización de pruebas, la resolución acelerada de errores y la generación de documentación utilizando técnicas de inteligencia artificial. Supervisar el desarrollo e implementación de sistemas de automatización de procesos en la fábrica de software. Impulsar la cultura de innovación y el aprendizaje continuo dentro del equipo. Promover prácticas de aceleración a nivel corporativo. Aportar en la creación y refinamiento de las ofertas de Fábricas Inteligentes de Software. Acompañar a reuniones con clientes para explicar e implementar el modelo. ","Nosotros te ofrecemos 💜: Contrato a término indefinido con fines de semana libres, trabajo remoto, salario justo de acuerdo con tu perfil en el mercado y beneficios extralegales. Acceso a nuestra propia plataforma de aprendizaje, para que te certifiques en tecnologías o habilidades necesarias para tu crecimiento. Medicina prepagada. Carta de beneficios para que elijas los que más te gusten entre las opciones según tus puntos (ej: seguro de mascotas, puntos para restaurantes, tarjetas de regalo, plataforma fit, entre muchos otros). "," Es un plus sí: Especialización o maestría en desarrollo de software, ingeniería de software, arquitectura de software, analítica avanzada o inteligencia artificial. Certificaciones o credenciales relevantes en inteligencia artificial o desarrollo de software (por ejemplo, IEEE Professional Software Developer Certification, Máster Prompt Engineer, AWS, Azure, GCP, entre otros). ","{'data': {'id': 5, 'type': 'seniority'}}",seniority,True,remote_local,,['Remote'],lang_not_specified,Programming,"['wellness', 'health_coverage', 'computer_provided', 'shopping_discounts']",4000.0,4300.0,1715279149,,,15,https://www.getonbrd.com/jobs/gerente-de-fabrica-de-software-senior-remoto-ingles-b1-sophos-solutions-remote
